Label,label_id
InsideOutMusic,17882
East Side Digital,18185
Fueled By Ramen,879
Mama Bird,22145
GNDWire,19343
Mayer Music,9549
Parlophone,590
Blue Corn,31987
Rykodisc,7526
Original Signal,1156
Southern Lord,117
"Phonogenic, Sony UK",20881
"Blanco y Negro, Def American Recordings",3477
Blanco y Negro,3478
Polydor,877
Shanachie,11906
Amorphous,17234
Mute,147
Shaytan,20972
Paradise Of Bachelors,19519
Doomtree,1625
Loveâ€™s Way,17431
Matador Records,20
#Merky,19415
"Sub Pop, Flemish Eye",9711
"Musex, BMI",19146
Undertow,18940
File Under: Music,30884
Will,4501
Mack Avenue,8458
Carrot Top Records,11565
Wishart Group,19910
BMD Fox Records,8098
"GBV, Inc.",19341
Zero Hour,5778
Alive Records,8992
Strange,12982
"Royal Mountain, Sub Pop",20796
Brain Records / Portrait Records,8848
Merge / Rough Trade,386
Yep Roc/Simian/Elephant 6,1037
"H20, Empire",19444
RCA Records / Portrait Records,8846
Fool's Gold,2142
East West / Koch,11883
Deep,17677
Numero Uno,20975
Fueled by Ramen,2960
Zoo Music,1775
Enigma,2993
DÃ©cor,8471
Smiley Miley Inc.,14669
Honeycomb Hideout,32025
Rocket #9 Records,8525
Halo Records,8523
Black Butter,20277
Sony Latin,20431
"Clockwork, Full Mettle",20256
Grand Jury,9007
Chimera,3012
Five Seven,9295
EMPIRE,20248
Procrastinate! Music Traitors,17623
Temporary Residence,303
Hopeless,3240
"Innovative Leisure, Timetable",20581
Morning Records,7100
Guided By Voices,29354
SideOneDummy,1978
WEA International,20504
Text,6464
"Bad Vibes Forever, EMPIRE",20917
"Thirty Tigers, We Buy Gold",22148
"First Generation Rich, EMPIRE",22198
Roswell/RCA,4556
Eclipse Records / Beautiful Happiness,5786
Wegawam,21373
Prospect Park,3501
Run for Cover,7315
"LaFace, Arista",5650
Get Low,9462
Vulf,15072
Box of Cedar,1822
W.25TH,21155
Oh Boy,14319
Uovooo,18086
Bonsound,12611
"88rising, EMPIRE",21614
Daptone,1462
RidingEasy,13005
"Stretch, Ropeadope",20643
Mille Plateaux,986
Suitcase Town,7368
Stockholm,11427
Gull,15121
Lucky Number,3849
Ernest Jenning Record Co.,27641
"Rabid, Mute",21579
FPE,17156
Bloodshot,443
Jiaolong,21426
eOne,4038
Ode,5106
Guerrilla Funk,6776
Bossier City,21549
"Sunday Best, PIAS",19670
Silver Age,18476
"Last Kings, EMPIRE",22165
Elektra / Mute / Sub Pop,11040
Lionboy,15258
EMI,311
"Aural Apothecary, Columbia",21979
Schoolkids,21873
Equal Vision,112
Okrahoma,7752
Deathwish Inc.,3366
Communicating Vessels,17458
Parlophone/Atlantic,7977
"All We Got, Atlantic",21995
"Syco,Sony BMG,J",9335
"Disruptor, Columbia",15178
"RCA, B-Unique",23294
Latency,22341
"Fat Possum, Bella Union",23292
Wu Music Group / Koch,9307
Koch Records / JVC Records,9305
Artoffacts,21661
Regain Records,7754
Warner Nashville,17044
"Third Man, Columbia",22045
Scarred For Life,23246
Absentee,22700
Just Sunshine,19114
Turnstile,1742
"Columbia, Epic",5790
Rabid,58
Immune,30908
"300 Entertainment, Rich Forever",22820
"Sony, Epic",6468
Twisted Elegance,20043
Beatnik,27285
Psychic Data,23598
"Phantasy Sound, Mute",22134
FAMM,22957
Capricorn Records,13012
Mixpak,8911
Small Stone,15526
Zelig,23316
Umor-Rex,20408
"Vertigo, Warner Bros.",5181
L.A. Club Resource,17838
Sister Polygon,18452
Aimless,25392
"Secretly Canadian, Tri Angle",22546
Reprise Records,98
Artisan Era,25851
"Fat Possum, Mama Bird, Loose",22048
Closed Casket Activities,19579
Forty Below,19530
300 Entertainment,19099
Virgin Records,97
SKiN GRAFT,20372
"Sire, Warner Bros.",4340
Mom+Pop,3022
Gnomonsong,1627
Load,374
Prosthetic Records,6940
Sony Music Australia,12326
"Young Stoner Life, 300",25085
Imago,11817
Beyond Beyond is Beyond,13762
Jet Set,405
Season of Mist,1286
Notenuf,4933
12hunna,11460
"Epic, E1",32132
Burger,11944
